gesture_id,Ax,Ay,Az
8,1.245,-0.065,9.989
8,1.235,-0.072,10.013
8,1.271,-0.065,10.01
8,1.271,-0.034,9.998
8,1.202,-0.055,10.084
8,1.31,-0.05,9.962
8,1.324,-0.074,10.008
8,1.314,-0.034,10.003
8,1.314,0.316,9.878
8,1.255,1.056,9.993
8,1.221,0.711,10.005
8,1.324,1.025,9.991
8,1.659,1.197,9.95
8,1.269,1.398,9.977
8,1.41,1.482,9.946
8,1.372,1.508,9.979
8,1.298,1.463,9.946
8,1.087,0.955,10.015
8,1.542,0.862,9.993
8,1.793,0.369,9.953
8,1.274,0.318,10.015
8,1.561,-0.045,10.003
8,1.425,0.01,9.969
8,1.597,0.16,9.974
8,1.472,0.259,10.034
8,0.776,-0.144,10.034
8,1.573,-0.369,10.02
8,1.53,-0.709,10.01
8,1.166,-0.922,9.998
8,1.81,-1.238,9.936
8,1.808,-1.575,9.943
8,1.494,-1.92,9.962
8,0.757,-2.272,10.063
8,0.833,-2.327,10.058
8,1.348,-2.253,10.027
8,1.231,-1.681,10.005
8,1.156,-1.135,9.993
8,1.245,-0.491,10.001
8,1.319,-0.129,10.022
8,1.302,-0.005,9.974
8,1.343,-0.084,9.981
8,0.891,0.215,10.113
8,0.338,-0.01,10.24
8,-0.283,-0.218,10.077
8,0.548,-0.453,10.06
8,0.175,-0.627,10.063
8,0.474,-0.5,10.051
8,0.56,-0.223,10.005
8,-0.225,-0.091,10.108
8,0.259,-0.11,10.132
8,1.101,-0.496,10.041
8,0.596,-0.275,10.075
8,0.601,0.101,10.027
8,1.458,0.165,9.936
8,0.678,-0.22,10.041
8,1.305,0.034,9.984
8,0.503,0.338,10.106
8,0.788,0.136,10.001
8,2.002,-0.022,9.96
8,1.271,-0.093,9.941
8,1.975,-0.127,9.941
8,2.167,0.254,9.914
8,2.162,-0.026,9.948
8,1.46,0.057,9.965
8,1.994,0.098,9.941
8,2.433,-0.213,9.895
8,1.587,-0.271,9.931
8,2.705,-0.113,9.95
8,1.403,0.18,10.008
8,2.492,-0.065,9.867
8,3.021,-0.045,9.934
8,2.753,-0.053,9.883
8,2.71,0.057,9.893
8,2.37,0.196,9.91
8,1.448,0.012,10.008
8,1.293,-0.074,9.962
8,1.283,-0.067,10.041
8,1.298,-0.067,9.948
8,1.307,-0.062,9.955
8,1.815,-0.512,9.888
8,0.781,-1.513,10.096
8,1.178,-1.681,9.986
8,1.245,-1.654,9.981
8,1.52,-1.642,9.986
8,1.398,-1.29,10.032
8,1.616,-0.927,9.969
8,1.542,-0.886,9.962
8,1.25,-0.871,10.036
8,1.434,-0.749,10.01
8,1.41,-0.199,10.022
8,1.595,-0.326,9.984
8,1.604,-0.421,9.96
8,1.539,0.053,10.029
8,1.568,-0.151,9.938
8,1.247,-0.069,9.953
8,1.343,0.017,10.044
8,1.508,0.134,10.01
8,1.032,0.309,10.022
8,1.135,-0.038,10.005
8,1.638,-0.213,9.931
8,1.41,0.139,10.013
8,1.568,0.287,9.929
8,1.353,0.378,10.02
8,1.365,0.378,9.967
8,1.314,0.242,9.972
8,1.264,0.757,9.996
8,1.389,0.761,9.986
8,1.386,1.262,10.015
8,1.283,1.465,10.015
8,1.441,1.597,9.993
8,1.513,1.446,9.962
8,1.408,1.326,9.962
8,1.147,1.199,9.981
8,1.302,0.055,9.977
8,1.29,-0.074,9.986
8,1.298,-0.108,9.969
8,1.362,-0.086,9.969
8,1.829,-0.096,9.953
8,2.593,-0.347,9.914
8,1.401,-0.048,10.036
8,1.98,0.048,9.917
8,2.164,0.254,9.943
8,2.009,0.213,9.905
8,2.1,0.093,9.898
8,1.975,-0.127,9.965
8,1.899,-0.17,9.969
8,1.841,0.117,9.969
8,1.769,0.005,9.969
8,1.681,-0.244,9.984
8,1.93,-0.144,9.922
8,1.568,0.007,9.924
8,1.453,-0.036,9.905
8,1.587,-0.069,9.967
8,1.223,0.053,10.094
8,0.876,0.012,10.041
8,1.475,-0.148,9.91
8,1.439,-0.108,10.017
8,1.118,0.017,9.95
8,0.792,-0.048,10.034
8,1.137,-0.103,9.998
8,1.614,-0.223,10.005
8,1.216,-0.271,10.01
8,1.065,-0.012,9.981
8,0.769,-0.189,10.044
8,1.355,-0.156,9.948
8,0.979,-0.113,10.008
8,1.049,0,10.017
8,1.341,-0.048,10.027
8,0.56,-0.086,10.056
8,0.702,-0.022,10.082
8,-0.429,-0.242,10.108
8,-0.383,-0.077,10.113
8,-0.345,-0.23,10.178
8,-0.541,-0.144,10.096
8,0.709,-0.148,10.044
8,1.223,-0.098,9.991
8,1.281,-0.055,10.013
8,1.288,-0.077,9.986
8,1.281,-0.098,10.003
8,1.269,-0.077,9.986
8,1.283,-0.065,10.015
8,1.302,-0.079,9.993
8,1.3,-0.065,10.001
8,1.281,-0.096,9.981
8,1.298,-0.045,9.972
10,1.298,-0.065,10.02
10,1.29,-0.067,10.003
10,1.283,-0.06,10.039
10,1.307,-0.093,10.003
10,1.298,-0.062,9.998
10,1.295,-0.079,9.957
10,1.307,-0.117,9.972
10,1.295,-0.079,10.02
10,1.281,-0.079,10.017
10,1.29,-0.079,9.969
10,1.29,-0.065,9.996
10,1.3,-0.101,9.984
10,1.295,-0.077,10.041
10,1.276,-0.06,9.993
10,1.279,-0.081,9.996
10,1.3,-0.122,10.01
10,1.302,-0.067,9.984
10,1.302,-0.079,10.003
10,1.286,-0.089,10.005
10,1.293,-0.093,9.979
10,1.312,-0.105,9.981
10,1.324,-0.105,10.017
10,1.302,-0.098,9.993
10,1.293,-0.072,9.96
10,1.329,-0.086,10.017
10,1.307,-0.093,9.953
10,1.279,-0.081,10.027
10,1.295,-0.101,9.986
10,1.192,0.019,9.984
10,-1.099,0.35,10.171
10,0.615,-0.091,10.056
10,0.218,-0.091,10.07
10,0.333,-0.139,10.089
10,0.371,-0.165,10.08
10,0.503,-0.01,10.068
10,0.163,0.017,10.12
10,0.273,-0.11,10.07
10,0.182,-0.017,10.029
10,0.113,0.177,10.127
10,0.9,-0.206,10.013
10,0.029,-0.294,10.068
10,1.82,-0.306,9.938
10,1.434,-0.031,10.039
10,1.219,0.074,10.003
10,1.094,0.263,10.032
10,1.216,0.223,9.972
10,0.891,0.048,10.041
10,1.053,-0.055,10.013
10,1.7,-0.182,10.022
10,2.195,-0.17,9.926
10,2.085,-0.122,9.895
10,2.248,0.074,9.948
10,2.375,0.132,9.962
10,1.781,-0.062,9.984
10,2.284,-0.098,9.9
10,1.97,-0.098,9.934
10,2.097,-0.397,9.919
10,2.059,-0.357,9.914
10,2.241,-0.302,9.919
10,2.634,-0.177,9.888
10,2.514,-0.266,9.89
10,2.67,-0.218,9.862
10,1.992,-0.151,9.967
10,1.468,-0.081,9.991
10,1.355,-0.077,9.991
10,1.319,-0.069,10.003
10,1.319,-0.067,10.017
10,1.322,-0.072,9.984
10,1.336,-0.096,10.008
10,1.331,-0.11,10.025
10,1.355,-0.077,9.977
10,1.31,-0.093,10.065
10,1.329,-0.103,9.993
10,1.142,-1.712,10.001
10,1.322,-1.346,10.029
10,1.171,-1.238,10.041
10,1.18,-1.381,9.993
10,1.219,-1.235,10.036
10,1.233,-1.238,10.048
10,1.48,-1.221,9.972
10,1.288,-1.109,10.017
10,1.523,-1.027,9.979
10,1.353,-0.931,9.986
10,1.276,-0.735,10.017
10,1.796,-0.448,9.984
10,1.501,-0.278,10.005
10,1.338,0.141,9.979
10,1.595,0.462,9.948
10,1.231,0.491,10.029
10,1.247,0.445,10.02
10,1.525,0.488,9.967
10,1.391,0.618,9.96
10,1.092,0.508,10.068
10,1.362,0.558,9.996
10,1.389,0.488,9.989
10,1.274,0.417,10.01
10,1.243,0.448,9.938
10,1.288,0.508,10.005
10,1.267,0.448,9.996
10,1.262,0.5,10.013
10,1.463,0.462,9.986
10,1.405,0.577,9.962
10,1.422,0.783,9.977
10,1.369,0.685,9.962
10,1.42,0.934,9.972
10,1.386,0.721,9.998
10,1.343,0.46,9.984
10,1.324,0.412,9.965
10,1.302,-0.012,10.008
10,1.305,-0.103,9.981
10,1.331,-0.101,9.977
10,1.312,-0.074,9.979
10,1.283,-0.086,9.998
10,4.348,-0.984,10.348
10,2.059,-0.201,9.922
10,1.999,-0.35,9.919
10,1.963,-0.086,9.936
10,2.308,0.026,9.967
10,1.889,0.01,10.015
10,2.066,0,9.924
10,2.105,-0.053,9.816
10,2.002,0.034,9.929
10,2.105,-0.043,9.953
10,1.891,-0.06,9.934
10,1.427,-0.055,9.989
10,1.432,-0.022,9.938
10,1.774,0.168,9.965
10,1.537,-0.029,9.969
10,1.255,-0.036,10.025
10,1.559,-0.18,9.991
10,1.417,-0.057,9.989
10,1.353,-0.089,10.001
10,1.695,-0.144,9.981
10,1.489,-0.201,9.996
10,0.915,0.024,10.034
10,1.571,-0.103,9.977
10,1.209,-0.156,9.95
10,1.36,-0.251,9.941
10,0.919,-0.05,10.06
10,0.249,-0.045,10.092
10,1.805,-0.469,9.955
10,1.585,-0.397,9.977
10,0.869,-0.086,10.036
10,0.551,-0.036,10.056
10,-1.147,0.139,10.199
10,-0.304,0.014,10.094
10,0.192,-0.012,10.063
10,0.412,-0.189,10.159
10,-0.371,-0.141,10.089
10,-0.711,0.11,10.151
10,0.994,-0.11,10.039
10,1.247,-0.077,9.989
10,1.298,-0.055,9.996
10,1.279,-0.074,9.972
10,1.295,-0.096,10.025
10,1.3,-0.062,9.993
10,1.293,-0.041,9.989
10,1.513,0.876,9.957
10,1.283,0.505,9.977
10,1.302,0.582,10.005
10,1.173,0.716,9.981
10,0.994,0.572,10.053
10,1.219,0.725,10.039
10,1.42,1.089,9.902
10,1.396,1.202,9.955
10,1.252,1.075,10.003
10,1.465,0.903,9.984
10,1.085,1.209,10.051
10,1.346,0.711,9.955
10,1.046,0.532,9.998
10,1.389,0.237,9.974
10,1.535,-0.247,9.955
10,1.101,-0.261,10.01
10,1.393,-0.275,10.027
10,1.458,-0.268,10.005
10,1.089,0.062,9.948
10,1.156,-0.168,9.996
10,1.374,-0.091,9.972
10,1.156,-0.127,9.993
10,1.628,-0.093,9.929
10,0.931,0.175,10.001
10,1.168,-0.244,10.015
10,1.669,-0.294,10.013
10,1.164,0.124,9.993
10,1.252,-0.036,9.912
10,1.372,-0.397,9.981
10,1.341,-0.682,9.977
10,1.355,-0.953,10.027
10,1.463,-0.572,10.02
10,1.59,-1.063,9.926
10,1.415,-1.817,9.922
10,1.281,-1.939,10.06
10,1.142,-2.174,10.008
